epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1298.32,0.78505,0.45665,0.98981,0.77137,0.79541,0.71998,0.54138,0.83547,0.71014,1.0284,0.009054,0.009054,0.009054
45,1327.5,0.78068,0.45289,0.99139,0.76734,0.7854,0.73222,0.5545,0.85066,0.70908,1.10495,0.009032,0.009032,0.009032
46,1356.78,0.77591,0.44648,0.983,0.76224,0.80155,0.7137,0.53843,0.8425,0.73215,1.04417,0.00901,0.00901,0.00901
47,1386.13,0.77677,0.44553,0.98399,0.77204,0.79334,0.72939,0.55444,0.82386,0.69692,1.01609,0.008988,0.008988,0.008988
48,1415.47,0.77096,0.44364,0.98127,0.77107,0.80179,0.75771,0.57728,0.83786,0.68208,1.03336,0.008966,0.008966,0.008966
49,1444.73,0.76682,0.43975,0.97669,0.7842,0.79231,0.73386,0.55737,0.8356,0.70095,1.03167,0.008944,0.008944,0.008944
50,1473.94,0.77115,0.4462,0.98171,0.76118,0.79843,0.7232,0.54339,0.85604,0.71852,1.06039,0.008922,0.008922,0.008922
51,1503.7,0.76246,0.43648,0.9764,0.78189,0.79847,0.72526,0.55204,0.83891,0.70558,1.05016,0.0089,0.0089,0.0089
52,1532.88,0.76316,0.43882,0.97857,0.80182,0.79225,0.75762,0.57242,0.83212,0.66196,1.01968,0.008878,0.008878,0.008878
53,1562.17,0.76439,0.43695,0.97655,0.78608,0.79433,0.73338,0.56081,0.84784,0.69481,1.06261,0.008856,0.008856,0.008856
54,1591.29,0.75814,0.43565,0.97621,0.77991,0.79737,0.71274,0.54459,0.84241,0.71933,1.05499,0.008834,0.008834,0.008834
55,1620.8,0.75323,0.42193,0.97127,0.78301,0.79653,0.74519,0.57257,0.83102,0.70183,1.04277,0.008812,0.008812,0.008812
