epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5897,1.12454,0.99356,1.20642,0.73603,0.75057,0.69882,0.4863,1.12116,1.06441,1.1269,0.00332461,0.00332461,0.00332461
2,74.6269,1.0227,0.6902,1.09469,0.78402,0.75952,0.72704,0.53311,1.03964,1.05297,1.09744,0.00664329,0.00664329,0.00664329
3,107.479,1.02659,0.69264,1.09793,0.77847,0.76374,0.73507,0.49587,1.15809,1.23487,1.12928,0.00994731,0.00994731,0.00994731
4,144.791,1.02188,0.68402,1.10597,0.74265,0.79646,0.72776,0.52818,1.03581,1.4272,1.11435,0.009934,0.009934,0.009934
5,177.429,0.99654,0.66617,1.09365,0.78472,0.7607,0.73441,0.53571,1.06635,1.05374,1.12392,0.009912,0.009912,0.009912
6,212.431,0.98465,0.64187,1.09258,0.76481,0.78556,0.73342,0.52813,1.01297,1.46191,1.08326,0.00989,0.00989,0.00989
7,249.548,0.96885,0.6336,1.08409,0.76366,0.76645,0.7018,0.48824,1.13033,1.63925,1.13557,0.009868,0.009868,0.009868
8,286.008,0.95419,0.61543,1.07563,0.76655,0.7917,0.7573,0.5667,0.96531,0.88235,1.07521,0.009846,0.009846,0.009846
9,325.416,0.94453,0.62127,1.07796,0.76728,0.77106,0.7214,0.51453,1.04227,1.19174,1.09268,0.009824,0.009824,0.009824
10,361.162,0.93921,0.60661,1.0726,0.76618,0.7985,0.71481,0.5221,1.03736,1.39503,1.10717,0.009802,0.009802,0.009802
11,391.778,0.92567,0.5931,1.06512,0.76712,0.78406,0.75978,0.56541,1.05364,1.15372,1.12944,0.00978,0.00978,0.00978
12,426.428,0.91987,0.59412,1.06437,0.7866,0.7911,0.78138,0.58919,0.94782,1.15549,1.06249,0.009758,0.009758,0.009758
13,460.872,0.91537,0.58935,1.06181,0.77925,0.78312,0.77208,0.57841,0.965,1.3056,1.06455,0.009736,0.009736,0.009736
14,495.662,0.90921,0.57926,1.05826,0.78208,0.78212,0.75504,0.56219,1.0122,1.15496,1.08638,0.009714,0.009714,0.009714
15,533.02,0.90916,0.57625,1.05615,0.7769,0.78962,0.76376,0.58306,0.95521,1.12057,1.06482,0.009692,0.009692,0.009692
16,568.611,0.89567,0.56662,1.05122,0.7925,0.78028,0.76785,0.58164,0.94628,1.29323,1.0673,0.00967,0.00967,0.00967
17,606.59,0.89752,0.56606,1.05536,0.78436,0.79321,0.76905,0.57999,0.98839,1.31746,1.09154,0.009648,0.009648,0.009648
18,642.342,0.88757,0.56099,1.04882,0.80894,0.77455,0.78132,0.59494,0.94243,1.08092,1.06436,0.009626,0.009626,0.009626
19,681.379,0.88221,0.54895,1.04411,0.7726,0.80268,0.75709,0.5745,0.94128,1.24751,1.05632,0.009604,0.009604,0.009604
20,719.71,0.88324,0.5538,1.04843,0.7948,0.77706,0.78844,0.59743,0.93333,1.01165,1.05306,0.009582,0.009582,0.009582
21,754.92,0.88277,0.5539,1.04978,0.77972,0.80228,0.77443,0.58456,0.94124,1.13671,1.06363,0.00956,0.00956,0.00956
22,792.952,0.87692,0.54581,1.04655,0.81447,0.78287,0.76721,0.58356,0.94214,1.08488,1.05799,0.009538,0.009538,0.009538
23,826.928,0.86736,0.53679,1.04041,0.78347,0.79348,0.7853,0.5949,0.93393,1.19138,1.05129,0.009516,0.009516,0.009516
24,860.59,0.87264,0.5397,1.04388,0.79111,0.7769,0.76805,0.5793,0.99413,1.17415,1.06863,0.009494,0.009494,0.009494
25,896.194,0.86519,0.53717,1.03671,0.8006,0.77576,0.77709,0.59778,0.93927,1.14266,1.06067,0.009472,0.009472,0.009472
