epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3952,1.12858,0.96742,1.20965,0.74036,0.75261,0.67651,0.47236,1.08294,1.39068,1.14433,0.00332896,0.00332896,0.00332896
2,138.517,1.03157,0.69344,1.10323,0.68372,0.71592,0.67321,0.4683,1.12087,1.52833,1.18073,0.00664764,0.00664764,0.00664764
3,202.973,1.03914,0.71112,1.10832,0.71042,0.75637,0.70234,0.46989,1.18348,1.20352,1.161,0.00995165,0.00995165,0.00995165
4,259.042,1.03012,0.7,1.11403,0.77326,0.78104,0.73665,0.54064,1.02145,1.50015,1.124,0.009934,0.009934,0.009934
5,319.62,1.0175,0.68288,1.10893,0.79438,0.77801,0.75411,0.55542,0.98292,1.15931,1.09351,0.009912,0.009912,0.009912
6,378.742,0.99008,0.65964,1.09657,0.76204,0.77461,0.74745,0.53308,1.05464,1.18539,1.11153,0.00989,0.00989,0.00989
7,428.001,0.97773,0.6406,1.09107,0.76641,0.77154,0.73107,0.53977,1.0072,1.04757,1.10895,0.009868,0.009868,0.009868
8,483.78,0.97206,0.63569,1.08884,0.77754,0.78586,0.73382,0.54265,1.01027,1.09638,1.11892,0.009846,0.009846,0.009846
9,547.683,0.95991,0.61845,1.08198,0.7696,0.77319,0.73733,0.51416,1.0915,1.00702,1.12376,0.009824,0.009824,0.009824
10,613.102,0.95217,0.62111,1.08329,0.79166,0.79358,0.7468,0.54544,0.97973,1.17075,1.0907,0.009802,0.009802,0.009802
11,676.152,0.94383,0.61573,1.07648,0.77656,0.79338,0.76084,0.56572,0.97322,1.0834,1.0842,0.00978,0.00978,0.00978
12,738.012,0.94225,0.61259,1.07703,0.80529,0.76468,0.75598,0.56851,0.97527,1.09236,1.08993,0.009758,0.009758,0.009758
13,801.154,0.93331,0.60084,1.07362,0.77661,0.78982,0.76685,0.57351,0.97695,1.16221,1.07765,0.009736,0.009736,0.009736
14,861.351,0.93275,0.60701,1.07414,0.82272,0.77429,0.76969,0.57807,0.96279,0.96351,1.074,0.009714,0.009714,0.009714
15,923.21,0.92321,0.59491,1.06729,0.77017,0.80483,0.76858,0.57914,0.96445,1.10829,1.07282,0.009692,0.009692,0.009692
16,979.027,0.90879,0.57873,1.05814,0.79671,0.78737,0.76826,0.57492,0.94743,1.18175,1.07103,0.00967,0.00967,0.00967
17,1032.19,0.90831,0.58169,1.06332,0.80278,0.76642,0.76843,0.57696,0.9541,1.08844,1.07172,0.009648,0.009648,0.009648
18,1091.9,0.90605,0.57827,1.06243,0.7847,0.79678,0.76866,0.58604,0.95502,1.06234,1.07834,0.009626,0.009626,0.009626
19,1155.43,0.8994,0.56975,1.05489,0.7765,0.80301,0.78141,0.58954,0.96781,1.33422,1.07934,0.009604,0.009604,0.009604
20,1218.98,0.90139,0.57623,1.06141,0.78301,0.77546,0.7742,0.58592,0.96294,1.1785,1.07369,0.009582,0.009582,0.009582
21,1283.62,0.89381,0.56818,1.05494,0.79587,0.79076,0.76779,0.58766,0.93606,1.09102,1.07272,0.00956,0.00956,0.00956
22,1346.63,0.88925,0.56679,1.0548,0.79219,0.78412,0.78035,0.59199,0.95,1.06085,1.06789,0.009538,0.009538,0.009538
23,1407.1,0.88576,0.56462,1.05305,0.83107,0.76178,0.78636,0.59294,0.92726,0.9937,1.06173,0.009516,0.009516,0.009516
24,1471.32,0.88467,0.55996,1.05415,0.83703,0.7779,0.76875,0.59038,0.93839,1.02912,1.06646,0.009494,0.009494,0.009494
25,1534.73,0.88303,0.56163,1.05364,0.82754,0.78053,0.77479,0.59145,0.93423,1.05633,1.06854,0.009472,0.009472,0.009472
26,1590.76,0.87572,0.55001,1.04698,0.82868,0.76979,0.787,0.60317,0.94221,1.06622,1.08062,0.00945,0.00945,0.00945
27,1647.67,0.87571,0.55213,1.04813,0.8241,0.77502,0.78985,0.60359,0.92809,0.93394,1.06817,0.009428,0.009428,0.009428
28,1703.67,0.87357,0.54851,1.04652,0.81547,0.78381,0.78155,0.59477,0.95074,1.12193,1.0767,0.009406,0.009406,0.009406
29,1767.38,0.87239,0.54717,1.04629,0.8126,0.79061,0.78912,0.60364,0.93619,1.16716,1.06852,0.009384,0.009384,0.009384
30,1826.88,0.86978,0.54521,1.04184,0.81847,0.78233,0.78082,0.5994,0.93112,1.16319,1.06323,0.009362,0.009362,0.009362
31,1890.43,0.86412,0.53763,1.04056,0.79277,0.79259,0.78916,0.59933,0.93538,1.26131,1.05809,0.00934,0.00934,0.00934
32,1944.99,0.8636,0.53812,1.0418,0.78907,0.79262,0.78625,0.60352,0.92718,1.16543,1.07212,0.009318,0.009318,0.009318
33,1999.42,0.85651,0.53221,1.0382,0.80804,0.79021,0.79973,0.60946,0.93952,1.19687,1.07988,0.009296,0.009296,0.009296
34,2063.32,0.86024,0.53787,1.0389,0.80781,0.77801,0.7706,0.58988,0.94437,1.27845,1.07628,0.009274,0.009274,0.009274
35,2122.25,0.85573,0.52824,1.03773,0.83508,0.7833,0.78656,0.60271,0.94119,1.18648,1.08379,0.009252,0.009252,0.009252
36,2182.25,0.84898,0.52122,1.0309,0.81594,0.78063,0.78875,0.60326,0.91994,1.23081,1.06162,0.00923,0.00923,0.00923
37,2237.73,0.85243,0.52819,1.03173,0.82561,0.77676,0.78886,0.60612,0.94,1.19982,1.06656,0.009208,0.009208,0.009208
38,2301.88,0.8459,0.52107,1.03002,0.82078,0.78212,0.78319,0.59949,0.92513,1.13417,1.06027,0.009186,0.009186,0.009186
39,2356.65,0.8418,0.51795,1.03096,0.82718,0.76656,0.79526,0.61225,0.91621,1.21293,1.05455,0.009164,0.009164,0.009164
40,2420.45,0.84464,0.51786,1.03258,0.79542,0.79409,0.77982,0.59598,0.94858,1.39743,1.0893,0.009142,0.009142,0.009142
41,2481.68,0.84085,0.5131,1.0294,0.79411,0.7939,0.78262,0.59944,0.94221,1.4008,1.08881,0.00912,0.00912,0.00912
42,2545.83,0.8401,0.5158,1.03233,0.79046,0.79615,0.78645,0.60429,0.93441,1.25406,1.08509,0.009098,0.009098,0.009098
43,2610.13,0.83817,0.51279,1.02926,0.80799,0.78547,0.77719,0.59055,0.94418,1.34244,1.07867,0.009076,0.009076,0.009076
44,2674.56,0.83853,0.51342,1.02793,0.81504,0.7813,0.77954,0.59738,0.94769,1.41703,1.07637,0.009054,0.009054,0.009054
