epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9114,1.14985,1.09113,1.2228,0.7067,0.77872,0.68194,0.47997,0.94649,0.74497,1.06288,0.00331588,0.00331588,0.00331588
2,65.8203,1.02598,0.68762,1.09087,0.7287,0.64948,0.65544,0.46031,0.9978,0.83146,1.09391,0.00663459,0.00663459,0.00663459
3,94.6366,1.02667,0.70326,1.09278,0.72478,0.63759,0.62105,0.41516,1.08567,0.95327,1.12483,0.00993862,0.00993862,0.00993862
4,122.986,1.02805,0.68248,1.10192,0.76214,0.78234,0.73239,0.52666,0.90505,0.73535,1.04269,0.009934,0.009934,0.009934
5,151.395,0.99081,0.65887,1.08431,0.73541,0.78062,0.71177,0.51126,0.93629,0.75316,1.06971,0.009912,0.009912,0.009912
6,180.19,0.96558,0.62559,1.0722,0.84198,0.75351,0.7647,0.5603,0.92145,0.71305,1.04472,0.00989,0.00989,0.00989
7,209.026,0.95788,0.61842,1.07171,0.75816,0.76755,0.73706,0.52553,1.00081,0.77442,1.0863,0.009868,0.009868,0.009868
8,237.629,0.94978,0.61341,1.06769,0.75931,0.77755,0.75209,0.54653,0.91182,0.69722,1.04339,0.009846,0.009846,0.009846
9,266.421,0.93636,0.60741,1.06551,0.74892,0.77459,0.74489,0.52426,0.99662,0.75072,1.07479,0.009824,0.009824,0.009824
10,294.667,0.92123,0.5852,1.05631,0.75255,0.78449,0.72717,0.53195,0.87372,0.69866,1.0445,0.009802,0.009802,0.009802
11,322.947,0.91521,0.58259,1.05373,0.82302,0.76851,0.75832,0.54429,0.97548,0.69955,1.05921,0.00978,0.00978,0.00978
12,351.409,0.91189,0.57712,1.05331,0.82401,0.78842,0.75802,0.56986,0.88284,0.70219,1.03559,0.009758,0.009758,0.009758
13,380.073,0.9008,0.57442,1.04849,0.77141,0.79225,0.71717,0.52852,0.88883,0.73402,1.03434,0.009736,0.009736,0.009736
14,408.462,0.89365,0.55896,1.0414,0.76113,0.79681,0.75127,0.56465,0.85873,0.68491,1.01968,0.009714,0.009714,0.009714
15,437.044,0.89056,0.56105,1.03947,0.78662,0.8006,0.75986,0.56729,0.86333,0.67166,1.02108,0.009692,0.009692,0.009692
16,464.946,0.88734,0.5545,1.03917,0.78681,0.78254,0.7512,0.54964,0.90186,0.68823,1.03572,0.00967,0.00967,0.00967
17,493.39,0.8831,0.55139,1.03824,0.79484,0.79439,0.76519,0.57541,0.8472,0.66231,1.02509,0.009648,0.009648,0.009648
