epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.598,1.16508,1.53807,1.37258,0.7293,0.77597,0.68526,0.46919,1.15815,1.44645,1.40187,0.00332461,0.00332461,0.00332461
2,81.7246,1.07581,0.86684,1.28882,0.73916,0.77954,0.70258,0.50537,1.04584,1.24154,1.26427,0.00664329,0.00664329,0.00664329
3,117.366,1.06951,0.81274,1.22352,0.75477,0.75358,0.71087,0.48965,1.05711,1.70985,1.23686,0.00994731,0.00994731,0.00994731
4,149.392,1.04406,0.7758,1.19331,0.7252,0.7744,0.70123,0.49567,1.07523,1.30212,1.23675,0.009934,0.009934,0.009934
5,184.512,1.01922,0.74132,1.16951,0.77449,0.75835,0.72807,0.49051,1.17588,1.08741,1.28084,0.009912,0.009912,0.009912
6,219.597,1.00185,0.70797,1.16016,0.75421,0.78786,0.72662,0.51476,1.05953,1.2226,1.20491,0.00989,0.00989,0.00989
7,255.58,0.99367,0.69347,1.15235,0.74795,0.76795,0.73408,0.5011,1.12905,1.37821,1.25278,0.009868,0.009868,0.009868
8,291.072,0.97734,0.66988,1.13875,0.77602,0.78025,0.75201,0.55497,0.97249,1.07202,1.16249,0.009846,0.009846,0.009846
9,326.827,0.97229,0.67323,1.1433,0.77345,0.7918,0.71823,0.51884,1.01049,1.39533,1.1996,0.009824,0.009824,0.009824
10,362.551,0.96775,0.65781,1.1394,0.77516,0.77503,0.71756,0.53295,1.0052,1.49355,1.1723,0.009802,0.009802,0.009802
11,397.293,0.95654,0.64131,1.12952,0.75661,0.75494,0.74518,0.53741,0.99826,1.00325,1.17712,0.00978,0.00978,0.00978
12,432.716,0.95001,0.6393,1.12586,0.79588,0.77443,0.76397,0.55813,0.99411,1.17642,1.16712,0.009758,0.009758,0.009758
