epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6041,1.17759,1.4946,1.39596,0.74213,0.7585,0.6683,0.4495,1.13919,1.60773,1.3905,0.00332896,0.00332896,0.00332896
2,129.043,1.08234,0.87386,1.29242,0.74368,0.79128,0.7005,0.49954,1.03396,1.33491,1.2511,0.00664764,0.00664764,0.00664764
3,180.153,1.07801,0.8355,1.23548,0.73402,0.77729,0.67304,0.46612,1.11851,1.84036,1.26537,0.00995165,0.00995165,0.00995165
4,228.389,1.06067,0.79216,1.21002,0.75768,0.77891,0.73381,0.51239,1.06352,1.51294,1.22593,0.009934,0.009934,0.009934
5,283.343,1.0411,0.76139,1.19191,0.71478,0.79711,0.72265,0.5236,1.01748,1.16496,1.19284,0.009912,0.009912,0.009912
6,334.773,1.01396,0.72814,1.17376,0.75097,0.77712,0.70242,0.47272,1.17312,1.35433,1.30012,0.00989,0.00989,0.00989
7,385.75,1.00384,0.70298,1.16512,0.73989,0.78353,0.71752,0.51445,1.04964,1.33372,1.22581,0.009868,0.009868,0.009868
8,442.323,0.99381,0.6909,1.1599,0.80607,0.75676,0.74177,0.54658,0.98208,0.87249,1.17372,0.009846,0.009846,0.009846
9,502.048,0.98505,0.67218,1.15119,0.80263,0.76786,0.74842,0.5461,0.98293,1.0508,1.17791,0.009824,0.009824,0.009824
10,553.376,0.9784,0.67226,1.15145,0.75181,0.79542,0.74191,0.52909,1.02262,1.18162,1.2005,0.009802,0.009802,0.009802
11,602.141,0.97139,0.66431,1.14639,0.78187,0.77173,0.7511,0.55173,0.98798,1.03141,1.18173,0.00978,0.00978,0.00978
12,660.855,0.96873,0.65849,1.14795,0.79631,0.77508,0.76929,0.56967,0.971,1.10628,1.16214,0.009758,0.009758,0.009758
13,708.513,0.9631,0.64805,1.14364,0.7665,0.79487,0.74434,0.54976,0.99061,1.14482,1.17157,0.009736,0.009736,0.009736
14,753.362,0.96231,0.65173,1.14316,0.78644,0.78843,0.76199,0.56861,0.98793,1.14208,1.17675,0.009714,0.009714,0.009714
15,799.104,0.95449,0.64003,1.13317,0.75136,0.78251,0.75954,0.53242,1.09448,1.16743,1.21632,0.009692,0.009692,0.009692
16,848.558,0.94223,0.62375,1.12666,0.7937,0.761,0.76098,0.56027,0.99548,1.14355,1.19157,0.00967,0.00967,0.00967
17,904.614,0.94205,0.62507,1.12534,0.76818,0.79482,0.76063,0.57072,0.98186,0.9793,1.17242,0.009648,0.009648,0.009648
18,964.735,0.93917,0.61959,1.12449,0.76995,0.78168,0.76125,0.55733,1.02658,1.13704,1.1992,0.009626,0.009626,0.009626
19,1023.66,0.93384,0.61372,1.11663,0.80062,0.77227,0.76094,0.56314,0.96831,1.171,1.16306,0.009604,0.009604,0.009604
20,1077.84,0.93661,0.61945,1.12091,0.80914,0.75569,0.76271,0.56371,0.99746,1.17664,1.16481,0.009582,0.009582,0.009582
21,1129.54,0.93306,0.61213,1.11884,0.79845,0.7792,0.76011,0.5723,0.95913,1.18438,1.14735,0.00956,0.00956,0.00956
22,1182.17,0.92745,0.61044,1.11926,0.84424,0.77168,0.77123,0.5797,0.95034,0.93418,1.14667,0.009538,0.009538,0.009538
23,1228.97,0.92577,0.60784,1.11854,0.78389,0.7913,0.77108,0.57948,0.95633,0.9597,1.15335,0.009516,0.009516,0.009516
24,1275.75,0.91847,0.60011,1.11309,0.79759,0.77941,0.76341,0.57929,0.96336,1.05133,1.12718,0.009494,0.009494,0.009494
25,1321.96,0.9221,0.60267,1.11419,0.81625,0.75949,0.76685,0.57698,0.96887,1.06035,1.14376,0.009472,0.009472,0.009472
26,1369.22,0.91651,0.59075,1.10632,0.80361,0.77184,0.77471,0.58391,0.97166,1.0276,1.16348,0.00945,0.00945,0.00945
27,1416.27,0.91495,0.59219,1.11243,0.77104,0.79762,0.77093,0.58269,0.96237,1.01459,1.15421,0.009428,0.009428,0.009428
28,1460.88,0.91338,0.59187,1.11337,0.81523,0.77727,0.76544,0.57358,0.96813,1.03494,1.18457,0.009406,0.009406,0.009406
29,1505.51,0.91139,0.59016,1.11232,0.83212,0.76489,0.76881,0.58024,0.96122,1.02188,1.166,0.009384,0.009384,0.009384
30,1550.28,0.90886,0.58906,1.10157,0.77879,0.78741,0.77366,0.58229,0.97869,1.12307,1.15674,0.009362,0.009362,0.009362
31,1596.96,0.90401,0.57848,1.10133,0.81892,0.77628,0.78469,0.58941,0.94684,1.04332,1.14945,0.00934,0.00934,0.00934
32,1644.01,0.90357,0.5819,1.10047,0.81423,0.76622,0.78718,0.59952,0.93971,1.04678,1.14551,0.009318,0.009318,0.009318
33,1685.59,0.89819,0.57683,1.09871,0.82722,0.77986,0.76634,0.58188,0.95072,0.94839,1.15693,0.009296,0.009296,0.009296
34,1738.62,0.90058,0.58228,1.09903,0.81204,0.78414,0.78038,0.59209,0.94674,1.02586,1.15044,0.009274,0.009274,0.009274
