epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1235,1.21096,1.97917,1.37462,0.75595,0.47419,0.56418,0.37916,1.11215,inf,1.44113,0.00329861,0.00329861,0.00329861
2,53.0902,1.09702,0.89906,1.30795,0.70972,0.72938,0.64817,0.43852,1.00977,1.04804,1.3077,0.00661735,0.00661735,0.00661735
3,72.6716,1.0788,0.82508,1.22214,0.68319,0.74074,0.64814,0.43184,1.06348,0.96452,1.3233,0.00992143,0.00992143,0.00992143
4,92.007,1.05136,0.77436,1.18121,0.68324,0.7622,0.65772,0.417,1.23829,inf,1.39551,0.009934,0.009934,0.009934
5,111.11,1.01262,0.73356,1.15271,0.7073,0.7612,0.67157,0.46278,0.96545,0.90849,1.19334,0.009912,0.009912,0.009912
6,130.589,0.99013,0.70308,1.13969,0.65685,0.59114,0.5483,0.32175,1.27872,0.96534,1.38276,0.00989,0.00989,0.00989
7,149.721,0.9793,0.67775,1.12707,0.73735,0.75617,0.67544,0.4488,1.12797,1.0227,1.28542,0.009868,0.009868,0.009868
8,168.679,0.96807,0.66664,1.12276,0.6814,0.74201,0.65885,0.43588,1.10753,0.83059,1.25889,0.009846,0.009846,0.009846
9,187.859,0.96159,0.65625,1.12038,0.736,0.76362,0.70621,0.50445,0.89709,0.77114,1.15078,0.009824,0.009824,0.009824
10,206.782,0.95535,0.63921,1.11633,0.79136,0.75311,0.73222,0.52673,0.92949,0.75883,1.1508,0.009802,0.009802,0.009802
11,225.849,0.94373,0.62894,1.10884,0.74256,0.79477,0.7023,0.50026,0.89808,0.76389,1.14247,0.00978,0.00978,0.00978
12,244.544,0.94269,0.62586,1.10786,0.77221,0.77594,0.72437,0.52397,0.90146,0.80671,1.1454,0.009758,0.009758,0.009758
13,263.661,0.93182,0.6089,1.10111,0.75592,0.785,0.68665,0.47396,0.99101,0.79067,1.19448,0.009736,0.009736,0.009736
