epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,880.42,0.85719,0.52745,1.05749,0.79994,0.79413,0.77913,0.5949,0.84476,0.65906,1.06933,0.009054,0.009054,0.009054
45,900.246,0.85811,0.52739,1.05514,0.78509,0.7905,0.75915,0.57498,0.84399,0.68363,1.05285,0.009032,0.009032,0.009032
46,920.354,0.85467,0.52587,1.05327,0.79157,0.78238,0.78394,0.59576,0.82715,0.65414,1.0623,0.00901,0.00901,0.00901
47,939.969,0.85269,0.52063,1.0524,0.78602,0.79718,0.75963,0.57929,0.84497,0.70435,1.10773,0.008988,0.008988,0.008988
48,959.61,0.84754,0.51856,1.04728,0.82711,0.77488,0.77062,0.59024,0.84716,0.67455,1.07922,0.008966,0.008966,0.008966
49,979.566,0.84934,0.51622,1.04762,0.76357,0.78457,0.7519,0.56936,0.84028,0.69806,1.06884,0.008944,0.008944,0.008944
50,999.115,0.84629,0.51607,1.04639,0.79913,0.78903,0.76361,0.58016,0.84345,0.67296,1.07443,0.008922,0.008922,0.008922
51,1019.25,0.84697,0.51097,1.04477,0.73853,0.79486,0.75376,0.57154,0.82988,0.72528,1.03789,0.0089,0.0089,0.0089
52,1039,0.84457,0.51224,1.04411,0.78222,0.78508,0.75164,0.5769,0.84657,0.69364,1.08884,0.008878,0.008878,0.008878
53,1057.08,0.84435,0.51061,1.04537,0.78969,0.77609,0.75908,0.57994,0.84711,0.68657,1.07324,0.008856,0.008856,0.008856
54,1075.44,0.84429,0.5118,1.04756,0.75955,0.79428,0.76701,0.58814,0.84339,0.69998,1.08377,0.008834,0.008834,0.008834
55,1094.44,0.84132,0.50604,1.04469,0.82294,0.77011,0.76999,0.59149,0.84475,0.67749,1.08276,0.008812,0.008812,0.008812
